5   24  2002    1		"no_div, dt_div, iyear_div, ijday_div"
-113.550	49.400	-113.300	49.274		"x_src, y_src, x_snk, y_snk" 05AD027 Waterton-Belly Diversion Canal 49.327 -113.633 
-113.925    50.645	-113.800    50.515		05BL015 Little Bow Canal at High River 50.5831 -113.869
-113.300    50.900  -113.050    50.521		05BM021 Bow River Development Main Canal Below Headgates 50.825 -113.431
-106.930	51.400	-106.400	50.760	    05JG006 Elbow Diversion Canal at Drop Structure 50.977 -106.398
-113.418    48.890	-113.070    48.900      St Mary Canal
44.3	2.76	40.2	10.2	19.822
44.4	2.76	41.2	10.3	20.331
44.6	2.9	41.7	10.3	20.19
44.6	2.69	41.3	10.3	20.133
43.4	1.93	40.6	10.4	19.482
39	1.53	40.1	10.4	17.925
30.3	1.42	39	10.6	13.111
9.26	0.617	35.3	10.7	13.082
1.79	0.418	35.7	10.8	8.495
6.32	0.375	38.5	10.8	6.513
10.8	0.425	41.9	10.9	6.796
10.6	0.719	42.2	11	6.796
15.6	0.707	40.2	11.2	6.23
25.3	0.814	41	11.4	5.663
45.2	0.738	40.2	11.5	5.097
50.7	0.537	42.2	11.6	4.248
50.2	0.511	42	11.7	1.982
50.1	0.559	42.6	11.9	1.699
49.5	0.825	42.2	11.9	1.557
39.7	0.601	41.7	12.1	1.416
25.6	0.694	41.2	12.1	1.274
31.9	0.998	42.8	12.3	1.133
57.3	0.691	43.2	12.4	1.019
47.9	0.302	40.7	12.5	0.963
42.9	0.34	36.3	12.6	0.906
42.7	1.11	34.5	12.7	0.909
42.5	1.95	30.4	12.8	0.886
42.3	1.63	27.4	12.8	0.866
42.1	2.03	28.1	12.9	0.83
38	2.11	27.6	12.9	0.799
23.1	2.21	31.3	12.3	0.767
9.61	2.09	33.4	11.4	0.75
8.76	2.25	38.4	11.3	0.756
9.32	2.07	41.3	11.3	0.745
9.35	2.2	41.1	11.3	0.745
9.35	2.63	40.6	11.3	0.731
11.9	2.72	40.2	11.4	0.728
20.9	2.66	41	11.2	0.742
24.1	2.69	41.3	11.4	0.745
24.2	2.72	41	11.4	0.75
24.3	2.67	41.3	11.3	0.748
24.5	2.67	41.1	11.2	0.75
24.6	2.69	41	11.2	0.765
24.6	2.66	40.8	11.2	0.765
27.2	2.71	40.9	11.2	0.762
28.6	2.66	41.1	11.2	0.765
26.1	2.8	40.8	11.1	0.762
24.6	2.73	41	11	0.77
24.6	2.71	40.8	11	0.776
24.6	2.71	40.7	11	0.765
24.7	2.65	40.9	11	0.765
24.8	2.69	40.8	11	0.765
24.8	2.53	40	11	1.708
24.8	2.64	39.3	10	4.984
24.7	2.54	40	9.06	7.051
24.7	2.4	39.9	9.08	8.382
24.7	2	40.4	9.08	9.684
24.7	1.73	40.8	7.65	12.516
24.7	1.79	38	6.29	14.527
24.6	1.49	32.5	5.27	15.829
24.4	1.22	26.7	4.34	16.31
24.7	1.47	25.3	4.34	16.169
24.7	1.47	25.1	4.35	16.084
24.6	1.46	25.2	4.35	16.367
24.6	1.44	21.2	4.38	17.245
24.6	1.41	16.7	4.32	18.264
24.5	1.38	16	4.31	18.576
24.4	1.36	16.6	4.4	18.859
24.3	1.34	16.7	3.3	18.916
24.2	1.34	16.9	2.21	18.972
24.1	1.35	16.7	2.08	19.114
24	1.41	16.6	2.07	19.737
24	1.38	16.7	2.07	20.218
23.9	1.2	16.7	2.07	20.445
23.7	1.24	17	2.07	20.558
23.6	1.27	17	2.04	20.558
23.5	1.25	17.1	2.04	20.558
21.7	1.22	14.2	2.04	20.53
19.9	1.05	9.27	2.03	20.445
19.8	0.667	14.6	2.01	20.331
19.7	0.663	16.9	2.02	20.445
19.6	0.654	16.8	2.01	20.388
